name,lat,lng,address,province,city,area,uid,tag1,tag2
逸夫图书馆,32.06428329191875,118.760659,南京市鼓楼区虎踞北路46号,江苏省,南京市,鼓楼区,87cab5ad9935032696f08c4e,教育培训,图书馆
河海大学-图书馆,32.05711192306754,118.764524,西康路1号河海大学,江苏省,南京市,鼓楼区,d0b8923f7758a39eb5f42f44,教育培训,图书馆
金域书院,32.10677634100581,118.778526,江苏省南京市幕府西路33号金域中央21栋102室,江苏省,南京市,鼓楼区,391aaa73667bbb03a8f729d1,教育培训,图书馆
南京工业大学(虹桥校区)-图书馆,32.0760028740815,118.774871,中山北路200号,江苏省,南京市,鼓楼区,0a894f7bfe623421d8d891b9,教育培训,图书馆
金陵图书馆(华彩荟南京店),32.06285837223605,118.745472,南京市鼓楼区江东北路333号华彩荟F1,江苏省,南京市,鼓楼区,b56f0186b87520f6cf06a40d,教育培训,图书馆
南京大学鼓楼校区北园-图书馆,32.056588477291186,118.787321,江苏省南京市鼓楼区汉口路22号,江苏省,南京市,鼓楼区,22e11407183676c9d5b74ec7,教育培训,图书馆
南京财经大学(福建路校区)-图书馆,32.086758226564015,118.767422,铁路北街128号,江苏省,南京市,鼓楼区,161a0ed23b2e4e2d5dd4fea1,教育培训,图书馆
江苏开大图书馆楼,32.065933438571776,118.74511,南京市鼓楼区南京定淮门长江隧道清江西苑南侧约220米,江苏省,南京市,鼓楼区,879d29a5c1b01d205cbe86f8,教育培训,图书馆
南京邮电大学-图书馆(模范马路),32.081785141982664,118.777747,新模范马路66号,江苏省,南京市,鼓楼区,9f97b1c5fc2be607b64f54dc,教育培训,图书馆
南京师范大学(随园校区)-图书馆,32.05534685363201,118.772868,江苏省南京市鼓楼区宁海路122号南京师范大学随园校区(近五台山体育馆北门),江苏省,南京市,鼓楼区,5e86f1c260087187c6effb7c,教育培训,图书馆
子午书巷图书馆,32.04970263643691,118.78433,华侨路街道上海路32号,江苏省,南京市,鼓楼区,edf1b0e395029d354c2fdf92,教育培训,图书馆
